account,date,closed_pnl,size_usd,trade_count,classification,loss_flag,next_day_pnl,profit_bucket
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-04-27,33.061386999999996,1032.253846153846,13,Greed,0,0.0,0
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-04-28,0.0,799.756,10,Neutral,0,112.996265,1
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,2025-04-29,112.996265,8110.65,1,Greed,0,,0
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-05-23,413.347329,1074.7592786885245,305,Extreme Greed,0,14.126038999999999,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-05-25,14.126038999999999,355.9985714285714,14,Extreme Greed,0,5.2257,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-05-26,5.2257,459.03142857142853,7,Extreme Greed,0,1129.35587,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-05-27,1129.35587,602.0546613545816,251,Greed,0,277.791953,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-05-29,277.791953,337.7447798742138,159,Greed,0,20.951433,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-05-30,20.951433,405.4414285714286,7,Greed,0,25.35812,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-05-31,25.35812,279.70307692307694,13,Greed,0,91.510419,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-06-01,91.510419,513.3848,25,Greed,0,192.906947,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-06-02,192.906947,316.822688172043,93,Greed,0,562.808208,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-06-03,562.808208,306.66942857142857,70,Greed,0,52.211438,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-06-04,52.211438,457.42283018867926,53,Greed,0,56.055506,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-06-05,56.055506,469.4587037037037,54,Extreme Greed,0,274.173187,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-06-06,274.173187,587.8536752136753,234,Extreme Greed,0,1573.244278,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-06-07,1573.244278,832.9677272727273,374,Extreme Greed,0,129.13883900000002,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-06-08,129.13883900000002,2379.510454545454,22,Greed,0,31.266804999999998,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-06-10,31.266804999999998,460.97204081632657,49,Greed,0,51.081143,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-06-11,51.081143,696.6096296296296,27,Greed,0,-21886.531493,0
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-06-12,-21886.531493,884.2718433179723,217,Greed,1,1859.269477,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-17,1859.269477,1346.5090746268656,335,Greed,0,1233.9043470000001,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-18,1233.9043470000001,1049.82,7,Greed,0,35.79975,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-19,35.79975,592.3885714285715,7,Greed,0,2169.508265,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-20,2169.508265,562.1888715953307,257,Greed,0,-2960.716887,0
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-21,-2960.716887,427.66804494382023,445,Greed,1,-756.173134,0
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-22,-756.173134,593.273909774436,133,Greed,1,1805.309858,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-23,1805.309858,640.1771942446044,139,Greed,0,625.561479,1
0x8477e447846c758f5a675856001ea72298fd9cb5,2024-07-24,625.561479,1215.0548275862068,29,Greed,0,341.250124,1
